hotel_name,user_name,country,room_info,no_of_nights_stayed,stay_date,traveller_type,review_title,rating,happy_review,unhappy_review,review_date,scraped_at,happy_review_cleaned_v1,unhappy_review_cleaned_v1
lyf one-north Singapore,Jonathan,Canada,One of a Kind (Studio),3.0,2023-05-01,Solo traveller,Very good,8.0,Great location right across from MRT.,Great pool!,13/05/2023,10/02/2024,great location right across meet,great pool
lyf one-north Singapore,Andrea,Germany,One of a Kind (Studio),3.0,2023-04-01,Family,Good,7.0,"Modern and clean hotel, with basic service. Very nice outdoor pool.","Wifi unstable, else everything was ok",08/05/2023,10/02/2024,modern clean hotel basic service nice outdoor pool,wife unstable else everything ok
lyf one-north Singapore,Sanet,Australia,One of a Kind (Studio),3.0,2023-05-01,Group,The  best place to return to after a full day to relax and unwind.,9.0,So clean and staff was super friendly.,nan,08/05/2023,10/02/2024,clean staff super friendly,nan
lyf one-north Singapore,Am,Singapore,One of a Kind (Studio),2.0,2023-05-01,Solo traveller,Stayed 2 nights. Not sure if they don't clean the room unless I request them to?,8.0,Room is clean. No smell. Comfortable. No external sound at night. Bathroom is clean. Hot water comes on fast.,I was told toothbrush and toothpaste are provided. When I couldn't find it i called the reception and was informed I have to request at counter. They assumed I know when I checked in?,06/05/2023,10/02/2024,room clean smell comfortable external sound night bathroom clean hot water come fast,I tell toothbrush toothpaste provide I could find I call reception inform I request counter assume I know I check
lyf one-north Singapore,John,New Zealand,One of a Kind (Studio),10.0,2023-04-01,Couple,"Fine - we enjoyed it, ,although far above the average age.",8.0,We catered breakfast in our room.  It was ok.  But having only one chair for an apartment that sleeps to was a bit of a problem.,for us it was small.Swimming pool chemical balance not well maintained - it stung your eyes.,04/05/2023,10/02/2024,water breakfast room ok one chair apartment sleep bit problem,smalswiming pool chemical balance well maintain sting eye
lyf one-north Singapore,Konstantin3000,United Kingdom,One of a Kind (Studio),4.0,2023-04-01,Solo traveller,"Great, affordable, quiet",9.0,"Great Location, very quiet, a lot of restaurants",Missing breakfast,02/05/2023,10/02/2024,great location quiet lot restaurant,miss breakfast
lyf one-north Singapore,Sasa,Austria,One of a Kind (Studio),3.0,2023-04-01,Family,Superb,9.0,"Nice hotel, Pool and joint areas",Very small rooms,30/04/2023,10/02/2024,nice hotel pool joint area,small room
lyf one-north Singapore,Greg,Australia,One of a Kind (Studio),5.0,2023-04-01,Couple,Superb,9.0,Simple & efficient - very central location,Nothing,30/04/2023,10/02/2024,simple efficient central location,nothing
lyf one-north Singapore,Rachael,Indonesia,One of a Kind (Studio),3.0,2023-04-01,Couple,Great stay in a great city!,9.0,The location and facilities were great. Communal areas were exceptional and provided a perfect place to collaborate with others and work.,nan,30/04/2023,10/02/2024,location facility great communal area exceptional provide perfect place collaborate work,nan
lyf one-north Singapore,Angie,Russia,One of a Kind (Studio),5.0,2023-04-01,Solo traveller,fair.,7.0,i like the common area. staff okay.,was a little exposed I feel. as the window directly towards outside. a bit stuffy. as not able to open the window. corridor may be a little warm. do hope the long stay cleaner can probably swept the floor.,28/04/2023,10/02/2024,I like common area staff okay,little expose I feel window directly towards outside bit stuffy able open window corridor may little warm hope long stay cleaner probably sweep floor
lyf one-north Singapore,Paul,United Kingdom,One of a Kind (Studio),5.0,2023-04-01,Solo traveller,Comfortable room in every way.,9.0,"This room had the three most important things: comfy bed, good shower and good aircon.  Also right opposite the MRT station with its food court.  Staff friendly and helpful.  In a quiet area and/or excellent soundproofing - I never got disturbed by any external noise, day or night.","Room was a bit on the small side and bed up against wall; so while I'd definitely stay there again if in Singapore on my own, I would not want to stay there with my wife.",26/04/2023,10/02/2024,room three important thing come bed good shower good iron also right opposite meet station food court staff friendly helpful quiet area ardor excellent soundproof I never get disturb external noise day night,room bit small side bed wall I would definitely stay singapore I would want stay wife
lyf one-north Singapore,Geovanna,Brazil,One of a Kind (Studio),3.0,2023-03-01,Couple,Overpriced but ok.,7.0,The location is good - really in front of the subway. The staff is friendly and the pool area/gym is really nice. I really enjoyed those.,It's completely overpriced and the rooms are REALLY SMALL. You can also hear everything while your partner/friend is using the toilet. That could definitely be improved if they didn't want to make everything so tight in the room.,25/04/2023,10/02/2024,location good really front subway staff friendly pool areagym really nice I really enjoy,completely overprice room really small also hear everything partnerfriend use toilet could definitely improve want make everything tight room
lyf one-north Singapore,Sandra,France,One of a Kind (Studio),14.0,2023-04-01,Solo traveller,very nice and relaxing stay at Lyf One North,9.0,"nice hotel just in front if the MRT very convenient if you go there for business. the swimming pool it’s just perfect for a swim just before sleep. the laundry it’s very nice too. bed was perfect for me. and very important they have a tv in the room with a system to cast your content and it works! most of the times for me those things are simply not working, here it’s perfect.","rooms are small, although if you are there only for sleep is very comfortable. 2 persons can be a bit thight though. general cleaning of the room is every 7 days which I think is not convenient, although they pass every 3 days to change towels. I would have used more the common spaces if the air conditioning was a bit less cold! i tried once but I could not stay longer.",23/04/2023,10/02/2024,nice hotel front meet convenient go business swim pool perfect swim sleep sundry nice bed perfect I important room system cast content work time I thing simply work perfect,room small although sleep comfortable person bit thigh though general clean room every day I think convenient although pass every day change towel I would use common space air condition bit less cold I try I could stay long
lyf one-north Singapore,Piyush_bajpai,United Arab Emirates,One of a Kind (Studio),7.0,2023-03-01,Solo traveller,Nice and clean spot for solo travellers,7.0,Clean property. Good gym and comfortable bed.,No room service and housekeeping do not clean the room daily. The rooms are compact but functional for a solo traveller.,21/04/2023,10/02/2024,clean property good grm comfortable bed,room service housekeep clean room daily room compact functional solo traveller
lyf one-north Singapore,Jeremy,Singapore,One of a Kind (Studio),2.0,2023-03-01,Couple,Very good,8.0,clean. quite well facilitated,"small area, but some facilities had to be requested and not given in the room",16/04/2023,10/02/2024,clean quite well facilitate,small area facility request give room
lyf one-north Singapore,Lucy,United Kingdom,One of a Kind (Studio),4.0,2023-04-01,Group,Excellent,8.0,High standard of accommodation. It was very peaceful and easy to travel from one-north MRT station which was just across the road. The swimming pool was fantastic.,The rooms were very small with not much space to move/unpack. Perfectky adequate for a short trip though.,15/04/2023,10/02/2024,high standard accommodation peaceful easy travel onenorth meet station across road swim pool fantastic,room small much space moveunpack perfectly adequate short trip though
lyf one-north Singapore,Elif,Turkey,One of a Kind (Studio),2.0,2023-04-01,Couple,Superb,9.0,Staff was very kind and helpful. Great location 👌,Rooms could be a little bit larger. But this was something we already knew so cannot complain.,09/04/2023,10/02/2024,staff kind helpful great location,room could little bit large something already know complain
lyf one-north Singapore,Yee,Singapore,One of a Kind (Studio),4.0,2023-04-01,Couple,Very good,8.0,The location is very near to the mrt. Very convenient and many food options nearby.  Many amenities like laundry washing and cooking facilities,"Room is very small and free TV channels not available until requested.  And even then, the signal is very bad. Not able to watch the channels without disruption . No daily Housekeeping.  And the light cleaning on the 3rd day doesn't include sweeping the floor.",08/04/2023,10/02/2024,location near meet convenient many food option nearby many amenity like sundry wash cook facility,room small free channel available request even signal bad able watch channel without disruption daily housekeep light clean rd day include sweep floor
lyf one-north Singapore,Hiresh,Thailand,One of a Kind (Studio),3.0,2023-03-01,Couple,Superb,9.0,"I like the cleanliness of the hotel and the polite and friendly staff. Great facilities such as the gym, pool, and quiet location. Although the location was a bit far from the city where we spent most of our time.Overall, great hotel.",nan,03/04/2023,10/02/2024,I like cleanliness hotel polite friendly staff great facility grm pool quiet location although location bit far city spend timeoveral great hotel,nan
lyf one-north Singapore,Victoria,Nigeria,One of a Kind (Studio),13.0,2023-04-01,Family,Very good,8.0,Closeness to train station and all facilities are practically available,Rooms not cleaned daily or least every 2 days,02/04/2023,10/02/2024,closeness train station facility practically available,room clean daily least every day
lyf one-north Singapore,Ahmed,Egypt,One of a Kind (Studio),13.0,2023-04-01,Family,Very good,8.0,Facilities and location,Room size,01/04/2023,10/02/2024,facility location,room size
lyf one-north Singapore,Eunice,Singapore,One of a Kind (Studio),6.0,2023-03-01,Solo traveller,Very good,8.0,"I love the location, and how the desk and chair were conducive for work. The pool was good, the open auditorium with steps and surrounding greenery were relaxing spaces","The aircon blows directly at the bed and was too cold, yet when I switched to fan mode it was too hot, so sleep was bad while I was there",01/04/2023,10/02/2024,I love location desk chair conduce work pool good open auditorium step surround greeley relax space,iron blow directly bed cold yet I switch fan mode hot sleep bad I
lyf one-north Singapore,An,Australia,One of a Kind (Studio),9.0,2023-03-01,Couple,Good,7.0,"The amenities included were great like the gym, pool and shared kitchen. There was also shared chill out areas where you could mingle with other guests (we didn't utilize it though)",We felt the hotel was more geared towards a self-sustaining apartment for single students than travelers. The room itself was very small so there was not much space to move around. The caveat being it is Singapore and space has always been a problem.,24/03/2023,10/02/2024,amenity include great like grm pool share kitchen also share chill area could mingle guest utilize though,feel hotel fear towards selfsustaine apartment single student traveler room small much space move around cadet singapore space always problem
lyf one-north Singapore,Kristina,Singapore,One of a Kind (Studio),3.0,2023-03-01,Couple,It is a nice stay. 1st time to stay in this kind of hotel/apartment. Stylish👍🏻,9.0,I like how comfortable the bed is. Bidet in the toilet👍🏻,the sink.I understand how small the room is but the floor gets wet every time we use it.,24/03/2023,10/02/2024,I like comfortable bed bide toilet,sink understand small room floor get wet every time use
lyf one-north Singapore,Emma,Germany,One of a Kind (Studio),3.0,2023-03-01,Couple,Superb,9.0,The hotel is truly perfect if you’re mostly out and exploring the city :) The facilities are also great - the pool is super nice and you can co-work in the lobby. There’s a small shop for snacks and drinks and we could leave our luggage for free at the hotel after check-out until the evening when our flight was. The location isn’t in the center but there’s a metro station really close by (1 to 2 min walking distance) which makes getting around very easy and convenient and you can reach downtown very quickly! :),"This is only a minor detail but our room was on the same level as the pool and unfortunately our window was directly facing the way to the pool, which meant that everyone walking by would stare directly into our room. There were blinds of course but sometimes you just want a little daylight :) I’m sure the other rooms were fine though and have more privacy!",19/03/2023,10/02/2024,hotel truly perfect mostly explore city facility also great pool super nice work lobby small shop snack drink could leave luggage free hotel checkout evening flight location center retro station really close min walk distance make get around easy convenient reach downtown quickly,minor detail room level pool unfortunately window directly face way pool mean everyone walk would stare directly room blind course sometimes want little daylight sure room fine though privacy
lyf one-north Singapore,Kostiantyn,United Kingdom,One of a Kind (Studio),2.0,2023-03-01,Solo traveller,Great place for good price,9.0,"Great location, swimming pool and staff. rooms are small but cosy.",missing breakfast options,18/03/2023,10/02/2024,great location swim pool staff room small cosy,miss breakfast option
lyf one-north Singapore,Adrian,United Kingdom,One of a Kind (Studio),6.0,2023-01-01,Couple,An ideal place to stay for peace and tranquillity out of the bustle of the city.,9.0,"We greatly appreciated our stay at LYF one-north.  There were not many other residents at this time so it was quiet and facilities e g kitchen, gym  were readily accessible.  Eating on the outside terrace was particularly pleasant.  The hostel is well organised and staff are pleasant and helpful.The location is convenient for travel by both buses and metro, only 5 minutes walk.  There is a supermarket, shops, restaurant, etc. at the metro station.","The ‘hi-tech’ environment was not always easy for us, for example, we were unable to use the tv which required an access procedure that somehow eluded us.  Maybe we could have sought additional help but it wasn’t that important.",14/03/2023,10/02/2024,greatly appreciate stay ly onenorth many resident time quiet facility e g kitchen grm readily accessible eat outside terrace particularly pleasant hostel well organise staff pleasant helpfulthe location convenient travel bush retro minute walk supermarket shop restaurant etc retro station,pitch environment always easy example unable use require access procedure somehow delude maybe could seek additional help want important
lyf one-north Singapore,Ai,Switzerland,One of a Kind (Studio),2.0,2023-02-01,Family,Good,7.0,"Great location, friendly staff",The room is too small,12/03/2023,10/02/2024,great location friendly staff,room small
lyf one-north Singapore,Steve,United Kingdom,One of a Kind (Studio),5.0,2023-02-01,Group,Great place for the younger at heart and business people,8.0,"For those of you ""younger"" ones this probably be a great hotel for you. I cannot fault it but at my and my travelling companions age it seeemed to be a bit gimmicky linked to profitability. There is a vending system and drink system on site but NO MILK. A kettle in the room but no tea or coffee. The hotel was clean and the staff helpful but we did not feel quite in place at the hotel. The shared cooking facilities could be good for long term guests but for a shorter stay somewhat impractical. Dont get me wrong, I would use the hotel again. Being just opposite the metro and in a nice relaxing area were great. If I was still travelling for business this would be my number 1 destination",No milk available on site - shared cooking facilities a bit forboding - everything labelled nothing available to use. Fridge on landing heavily loaded and no fridge in the room,07/03/2023,10/02/2024,young one probably great hotel I fault travel companion age seem bit gimicky link profitability send system drink system site milk kettle room tea coffee hotel clean staff helpful feel quite place hotel share cook facility could good long term guest short stay somewhat practical get I wrong I would use hotel opposite retro nice relax area great I still travel business would number destination,milk available site share cook facility bit foreboding everything label nothing available use fridge land heavily load fridge room
lyf one-north Singapore,Thắng,Vietnam,One of a Kind (Studio),3.0,2023-03-01,Couple,Very good,8.0,"Interior design is vibrant & youngUltilities just enough, which is very interesting point",nan,06/03/2023,10/02/2024,interior design vagrant youngultilitie enough interesting point,nan
lyf one-north Singapore,Kostiantyn,United Kingdom,One of a Kind (Studio),3.0,2023-03-01,Solo traveller,great location and facilities,9.0,new property. quirky design and great location.,not much but some breakfast facilities would be good.,04/03/2023,10/02/2024,new property quickly design great location,much breakfast facility would good
lyf one-north Singapore,Nellia,Indonesia,One of a Kind (Studio),2.0,2023-03-01,Couple,Superb,9.0,"location, transport and food/drinks",nan,01/03/2023,10/02/2024,location transport drink,nan
lyf one-north Singapore,Yoke,New Zealand,One of a Kind (Studio),4.0,2023-02-01,Family,Very good,8.0,Near the mrt and food. Very compact.,Pillows are too soft.,27/02/2023,10/02/2024,near meet food compact,pillow soft
lyf one-north Singapore,Silvia,Germany,One of a Kind (Studio),4.0,2023-02-01,Family,Good,7.0,"It was very clean. Bed was big enough and just hard enough. We liked the window shape. Hotel is very modern and nice looking. Position is in a quiet neighbourhood, a bit away from the city, but good connected with the metro.","The room was very small. Not enough space to put clothes or spread the wet towels. Window could not be left open, we had to improvise to keep it opened. The person sleeping next to the window had to ""jump"" over the partner to get off the bed. Fridge in the room would be nice.",21/02/2023,10/02/2024,clean bed big enough hard enough like window shape hotel modern nice look position quiet neighbourhood bit away city good connect retro,room small enough space put clothe spread wet towel window could leave open improvise keep open person sleep next window jump partner get bed fridge room would nice
lyf one-north Singapore,Monza142,Indonesia,One of a Kind (Studio),2.0,2023-02-01,Solo traveller,one of the kind holiday,8.0,the place has some good places to take good pictures. there's a shared kitchen so you can cook food by yourself. the location is near MRT so you don't have to be worried about that,"the location is quite far to some of tourist spots. so, it takes an extra effort in transport, but don't worry to much about that. you can use maps for nearest transport",20/02/2023,10/02/2024,place good place take good picture share kitchen cook food location near meet worried,location quite far tourist spot take extra effort transport worry much use map nearest transport
lyf one-north Singapore,Keith,United Kingdom,One of a Kind (Studio),7.0,2023-02-01,Couple,Friendly staff and excellent facilities.,9.0,All the comfort of a great hotel without any stuffiness. Really relaxed and unfussy.,nan,19/02/2023,10/02/2024,comfort great hotel without stiffness really relax uneasy,nan
lyf one-north Singapore,Umberto,Italy,One of a Kind (Studio),10.0,2022-12-01,Solo traveller,Very good,8.0,"Good location, friendly staff. Good choice for Singapore",nan,13/02/2023,10/02/2024,good location friendly staff good choice singapore,nan
lyf one-north Singapore,Mohammad,Singapore,One of a Kind (Studio),11.0,2023-02-01,Family,Hotel great-vania!,8.0,"Very modern & welcoming hotel, friendly lyf-guard team, swimming pool, beautiful rooftop open space, co-working space, good amenities nearby.",Every level pantry should have bigger fridges & a toaster,11/02/2023,10/02/2024,modern welcome hotel friendly lyfguard team swim pool beautiful rooftop open space work space good amenity nearby,every level pantry big bridge master
lyf one-north Singapore,Jana,New Zealand,One of a Kind (Studio),9.0,2023-02-01,Couple,great place to stay in your studying or working in the area,7.0,"amenities are nice - small but good gym, kitchen, pool and rooftop",rooms are very small for two people,05/02/2023,10/02/2024,amenity nice small good grm kitchen pool rooftop,room small two people
lyf one-north Singapore,Khuyết,Vietnam,One of a Kind (Studio),3.0,2023-01-01,Family,Good,7.0,"location, the shared kitchen","too tiny room, check-in takes too long time",29/01/2023,10/02/2024,location share kitchen,tiny room check take long time
lyf one-north Singapore,Paul,United Kingdom,One of a Kind (Studio),4.0,2023-01-01,Couple,Very good,8.0,The staff were helpful,"The rooms have good design that could be more functional, say for instance, making more hangars available.",25/01/2023,10/02/2024,staff helpful,room good design could functional say instance make danger available
M Hotel Singapore City Centre,Jasper,Japan,Premier Double Room with Free Wifi ,2.0,2023-11-01,Solo traveller,Exceptional,10.0,Very friendly stuff. The location is perfect. We got a free upgrade.,The laundry is too expensive. Also the jacuzzi in our room was not working.,08/12/2023,08/02/2024,friendly stuff location perfect get free upgrade,sundry expensive also jacuzi room work
M Hotel Singapore City Centre,Andy,Cyprus,Deluxe Double Room With Free WiFi,2.0,2024-01-01,Couple,comfortable.,8.0,breakfast was of high quality,dining room was uncomfortable  often needed to queue to get a table and chairs very close together  at times needed to get up to allow someone to pass.Also very noisy.,29/01/2024,08/02/2024,breakfast high quality,dine room uncomfortable often need queue get table chair close together time need get allow someone pasalso noisy
M Hotel Singapore City Centre,Bee,Singapore,Family Club Room,2.0,2023-12-01,Family,Good and relaxing,8.0,Clean and spacious,Expensive for the offerings available,26/01/2024,08/02/2024,clean spacious,expensive offering available
M Hotel Singapore City Centre,Paul,Thailand,Club Room with Free Wi-Fi,14.0,2023-12-01,Solo traveller,Booking . Com sucks ass! My stay was great,9.0,It’s a business hotel so the rooms are spacious and comfortable. It has a reasonable gym with resistance training machines and dumbbells. Breakfast is very good. The staff are excellent. Very helpful and polite.,I didn’t like the fact Booking . Com overcharged me and then tried to blame the hotel… terrible !! I have cancelled all my future bookings through this app. Disgusting level of customer service . Lying to me and refusing to reimburse the 8000thb.  Well the jokes on you! That just cost you tens of thousand of dollars that I spend every year traveling,25/01/2024,08/02/2024,business hotel room spacious comfortable reasonable grm resistance train machine dumbbell breakfast good staff excellent helpful polite,I like fact book com overcharge I try blame hotel terrible I cancel future book disgusting level customer service lie I refuse reimburse well joke cost ten thousand dollar I spend every year travel
M Hotel Singapore City Centre,Siti,Singapore,Deluxe Double Room With Free WiFi,2.0,2023-12-01,Family,Relaxing,7.0,Bathtub and large resting area,Not much of halal food options,22/01/2024,08/02/2024,bathtub large rest area,much hall food option
M Hotel Singapore City Centre,Belinda,Singapore,Premier Double Room with Free Wifi ,3.0,2024-01-01,Solo traveller,Convenient with nearby MRT and a couple of restaurant choices to dine in.,8.0,Convenient location with MRT station nearby,Hotel may need a refurbishment to look new and modern again. Currently it is a bit run down.,22/01/2024,08/02/2024,convenient location meet station nearby,hotel may need refurbishment look new modern currently bit run
M Hotel Singapore City Centre,Md_anwarh,Bangladesh,Deluxe Double Room With Free WiFi,4.0,2023-12-01,Group,Very good,8.0,view from my room. over all good.,view from my room. my room number.,21/01/2024,08/02/2024,view room good,view room room number
M Hotel Singapore City Centre,Ljk,Indonesia,Premier Double Room with Free Wifi ,2.0,2023-12-01,Solo traveller,Superb,9.0,"Everything was good,  the location was near to my interest point. Staff was friendly, price was reasonable",nan,21/01/2024,08/02/2024,everything good location near interest point staff friendly price reasonable,nan
M Hotel Singapore City Centre,Jeff,New Zealand,Deluxe Twin Room with Free Wifi,4.0,2024-01-01,Family,Singapore short stay,8.0,"The location is central and only a short walk to the nearest MRT.The room is relatively large, however the shower is small.","The breakfast is OK, some of the hot food was not that warm.  There is not a lot of ambience in the dining room, this hotel seems to cater more toward business travel.The pool is quite cold and the spas were both ""out of service"".",14/01/2024,08/02/2024,location central short walk nearest room relatively large however shower small,breakfast ok hot food warm lot absence dine room hotel seem cater toward business travelthe pool quite cold spa service
M Hotel Singapore City Centre,Shanitha,South Africa,Deluxe Twin Room with Free Wifi,1.0,2023-12-01,Family,Lovely hotel. Staff were very helpful and friendly in every way.,7.0,The service from the staff was excellent especially the front desk. They were kind enough to allow us to use the bathroom facilities in the spa since we had a very early arrival and could only check in later in the day.,Not much to complain about except the water in the spa was cold.,14/01/2024,08/02/2024,service staff excellent especially front desk kind enough allow use bathroom facility sea since early arrival could check later day,much complain except water sea cold
M Hotel Singapore City Centre,Joerick,Australia,Deluxe Double Room With Free WiFi,2.0,2024-01-01,Family,"Very good location, and accessible to MRT and heaps of stores nearby. Also, local food cuisine Lau Pa Sat is a walking d",8.0,"Very accessible location, 24-hours reception, helpful staff. Good for family travel.","Outdated, bathroom is not clean, heaps of moulds in the wall and floor. Bathroom door is slightly damaged.Aircondition is too cold unable to control the temperature",11/01/2024,08/02/2024,accessible location hour reception helpful staff good family travel,outdate bathroom clean heap mould wall floor bathroom door slightly damagedaircondition cold unable control temperature
M Hotel Singapore City Centre,Kathy,United Kingdom,Deluxe Double Room With Free WiFi,7.0,2023-12-01,Couple,A great stay in Singapore,9.0,"A great hotel, spacious bedroom. We didn't have breakfast so can't comment. I needed a different pilow and they provided immediately. I asked also for extra coffee and they offered.",nan,07/01/2024,08/02/2024,great hotel spacious bedroom breakfast comment I need different pillow provide immediately I ask also extra coffee offer,nan
M Hotel Singapore City Centre,Ingrid,Netherlands,Family Deluxe Room ,6.0,2024-01-01,Family,"great location, nice place to stay",7.0,"very good location in front of a bus stop, with a nice small pool for the children, friendly staff, after check-out we could leave our luggage locked behind until we had to leave to the airport.","although we know this hotel is mainly focused on business travelers, it could a bit more comfortable for families as well when:- decent price to wash & dry your clothes (there are machines, but tokens for it are way too expensive)- jacuzzi’s were broken and not very clean - minibar was not very clean (to put some food in)- design of the rooms not really to our taste.",06/01/2024,08/02/2024,good location front bus stop nice small pool child friendly staff checkout could leave luggage lock behind leave airport,although know hotel mainly focus business traveler could bit comfortable family well decent price wash dry clothe machine tokens way expensive jacuzis break clean minimal clean put food design room really taste
M Hotel Singapore City Centre,Suhayl1621,South Africa,Deluxe Double Room With Free WiFi,4.0,2024-01-01,Couple,Good,7.0,The location of the hotel was very central and convenient for most locations... Had a good walk to Lau Pissat and easy access to public transport,"There was no Spa facility at the hotel even though there was a space for it. Also, there was no complimentary shuttle to any areas which should be offered by a 5* Hotel",05/01/2024,08/02/2024,location hotel central convenient location good walk law sit easy access public transport,sea facility hotel even though space also complimentary scuttle area offer hotel
M Hotel Singapore City Centre,Gitai,Israel,Family Deluxe Room ,6.0,2024-01-01,Family,Very good,8.0,The location is very good.Very clean. Very good breakfast.,"The staff at the reception was polite but really not helpful or willing to provide service. We arrived a few days before New Year's Eve and they didn't bother to say that there was a festive dinner at the hotel. When we found out, there was no longer a free table. It's a shame they don't inform hotel guests of relevant information. A feeling that the digital information has replaced the human relationship.",03/01/2024,08/02/2024,location govern clean good breakfast,staff reception polite really helpful willing provide service arrive day new year eve bother say festive dinner hotel find long free table shame inform hotel guest relevant information feel digital information replace human relationship
M Hotel Singapore City Centre,Jovynne,Australia,Deluxe Double Room With Free WiFi,2.0,2024-01-01,Couple,Great value for money! Great stay.,8.0,"Comfortable bed with soft sheets. Room was very spacious. Bathroom had a shower and bathtub and big bottles of shower gel, shampoo and handwash were provided instead of the small bottles that alot of hotels provide, which i loved.Doorman and floor staff were very friendly and greeted us with a smile after we got back from shopping, which was very lovely.There's a swimming pool and gym but we didn't utilise them. Went to the bar for a drink - very cosy and staff were friendly.Good location and Good value for money!",Nothing much really. Maybe cleanliness could be improved slightly? There were some stains on the carpet in the room and I also found a long strand of black hair on the dressing table (I am blonde!).,03/01/2024,08/02/2024,comfortable bed soft sheet room spacious bathroom shower bathtub big bottle shower get shampoo handwash provide instead small bottle clot hotel provide I lovedorman floor staff friendly greet smile get back shopping lovelythere swim pool grm utilise go bar drink cosy staff friendlygod location good value money,nothing much really maybe cleanliness could improve slightly stain carpet room I also find long strand black hair dress table I blonde
M Hotel Singapore City Centre,Vicki,Australia,Deluxe Double Room With Free WiFi,6.0,2023-12-01,Solo traveller,Happy with location and excellent staff,8.0,The friendly and helpful staff,The seafood at the buffet was terrible,01/01/2024,08/02/2024,friendly helpful staff,seafood buffet terrible
M Hotel Singapore City Centre,Cla,Italy,Family Premier Room,6.0,2023-12-01,Family,Business hotel in excellent area,8.0,"M hotel is very close to bys stop and metro station. In the area you find restaurants, coffee shop, pubs, 7/11 and a gym. Also ""Lau pa sat"" restaurants are 10 mins by walk.Breakfast in hotel us great.",Spa is closed. Swimming pool is very loud and useless (Dec 2023). An Indoor swimming pool would have been better and much more usable.,31/12/2023,08/02/2024,hotel close stop retro station area find restaurant coffee shop pus grm also law pa sit restaurant mind walkbreakfast hotel great,sea close swim pool loud useless dec indoor swim pool would well much unable
M Hotel Singapore City Centre,Nur,Malaysia,Deluxe Twin Room with Free Wifi,2.0,2023-12-01,Group,Good,7.0,location,actual room was totally different as presented and showed in booking.com,28/12/2023,08/02/2024,location,actual room totally different present show bokingcom
M Hotel Singapore City Centre,Dinesh,South Africa,Deluxe Double Room With Free WiFi,3.0,2023-12-01,Family,ok,7.0,"Staff where friendly and helpful. The cost was high for one family of 5. If you have 3 kids, all under 18 but end up with a huge bill.",cost - no pool - no facilities,25/12/2023,08/02/2024,staff friendly helpful cost high one family kiss end huge bill,cost pool facility
M Hotel Singapore City Centre,James,United Kingdom,Deluxe Double Room With Free WiFi,3.0,2023-12-01,Solo traveller,Business or leisure - always a pleasure,8.0,The location (down in the commercial area) made it pretty quiet in the evenings which was welcomed. All the staff were top notch in all my interactions with them.,"A minor niggle (and one that I know would have been sorted if I had said something). While I greatly applaud the hotel's decision to use larger fixed bottles of things such as shower gel, please could the housekeeping staff check that they have product inside them on their daily rounds? I sadly ran out of shower gel. Wasn't an issue as I brought some of my own as well but just a bit of a tip for the future.",24/12/2023,08/02/2024,location commercial area make pretty quiet evening welcome staff top notch interaction,minor single one I know would sort I say something I greatly applaud hotel decision use large fix bottle thing shower get please could housekeep staff check product inside daily round I sadly run shower get issue I bring well bit tip future
M Hotel Singapore City Centre,Michelle,United States,Deluxe Double Room With Free WiFi,3.0,2023-12-01,Group,Great hotel in a good value.,9.0,"Great location, great value, friendly staffs, and nice breakfast.",The carpet needs to be deep clean.  there're small stains everywhere.,24/12/2023,08/02/2024,great location great value friendly staff nice breakfast,carpet need deep clean small stain everywhere
M Hotel Singapore City Centre,Mai,Vietnam,Premier Double Room with Free Wifi ,3.0,2023-12-01,Family,Very good,8.0,"Good place, near MRT and China town.",I do not like attitude of,21/12/2023,08/02/2024,good place near meet china town,I like attitude
M Hotel Singapore City Centre,Thi,Vietnam,Premier Double Room with Free Wifi ,3.0,2023-12-01,Family,So so,7.0,"Location, good pillows",Making room is not really clean.,12/12/2023,08/02/2024,location good pillow,make room really clean
M Hotel Singapore City Centre,Ngaire,New Zealand,Deluxe Double Room With Free WiFi,4.0,2023-11-01,Solo traveller,"Ok facility, rooms need updating.  Staff friendly enough the cleaner being the most professional.",7.0,The property was well appointed in the city. The breakfast included was very nice and fresh with good choices.,The bed was two twin bed put together therefore a gap in the middle of the bed.  The toilet broke with a continued flow of water making a flushing sound all night I need to hold up the ball cot with a glass to stop until maintain  came in the morning.The rooms are outdated,30/11/2023,08/02/2024,property well appoint city breakfast include nice fresh good choice,bed two twin bed put together therefore gap middle bed toilet break continue flow water make flush sound night I need hold ball cot glass stop maintain come morningthe room outdate
M Hotel Singapore City Centre,Tuan,Vietnam,Deluxe Double Room With Free WiFi,1.0,2023-11-01,Group,Superb,9.0,Friendly and enthusiastic receptionist thanks Luis 😍 traffic is easy,nan,29/11/2023,08/02/2024,friendly enthusiastic reception thank louis traffic easy,nan
M Hotel Singapore City Centre,Adrianus,Netherlands,Deluxe Twin Room with Free Wifi,4.0,2023-11-01,Couple,Good hotel in the hart of the business centre,8.0,"Nice rooms, good beds",nan,28/11/2023,08/02/2024,nice room good bed,nan
M Hotel Singapore City Centre,Sheik,Mauritius,Family Deluxe Room ,2.0,2023-11-01,Family,Needs a renovation,8.0,The location of the hotel was great,"The room was very small, it needs a renovation overall, the jacuzzi wasn’t working, the breakfast was not wow at all it was just fair.",26/11/2023,08/02/2024,location hotel great,room small need renovation overall jacuzi want work breakfast fair
